date
1700-01-14
1700-01-19
1700-04-11
1700-05-07
1701-06-24
1701-08-24
1701-09-11
1702-01-24
1702-03-01
1702-09-16
1702-09-23
1702-09-27
1702-10-10
1703-03-31
1703-05-22
1703-08-26
1703-09-24
1703-11-06
1704-01-02
1704-01-19
1704-04-27
1704-06-26
1705-07-25
1705-10-18
1706-03-21
1706-11-13
1707-04-01
1707-04-25
1707-06-01
1707-07-06
1707-08-29
1708-08-12
1708-08-31
1708-10-05
1709-02-13
1709-03-18
1709-04-04
1709-04-05
1709-09-15
1710-01-27
1710-03-03
1710-04-25
1710-12-08
1711-11-04
1711-11-29
1711-12-09
1712-11-14
1713-02-15
1713-06-06
1713-06-22
1713-09-19
1713-12-19
1714-01-02
1714-01-27
1714-04-16
1714-08-26
1714-10-20
1714-12-14
1717-04-10
1717-09-19
1717-09-26
1718-07-09
1719-01-01
1719-01-14
1719-01-24
1719-02-12
1719-05-03
1719-06-07
1720-05-06
1720-08-16
1720-10-13
1721-01-17
1721-02-25
1721-04-11
1721-07-29
1721-08-08
1721-12-05
1721-12-16
1722-04-09
1722-07-10
1722-11-25
1723-06-21
1723-07-07
1723-11-12
1723-12-11
1724-06-08
1724-07-01
1724-07-24
1724-07-27
1724-09-05
1724-10-27
1724-11-25
1724-12-28
1725-03-16
1725-08-15
1725-10-12
1725-10-27
1726-02-22
1726-02-23
1726-07-11
1727-08-16
1728-03-24
1728-11-10
1729-02-25
1729-03-07
1729-03-23
1729-06-16
1729-10-20
1730-06-03
1730-06-27
1732-01-10
1733-01-26
1733-03-04
1733-05-22
1733-11-28
1734-03-12
1734-08-12
1734-11-26
1735-01-16
1735-08-26
1736-01-08
1736-03-12
1736-06-12
1736-06-30
1736-07-21
1736-10-02
1736-10-08
1737-01-31
1737-10-03
1738-01-26
1738-07-08
1738-07-30
1739-03-04
1739-03-17
1739-05-13
1739-06-11
1739-10-28
1740-01-09
1740-03-22
1741-03-23
1741-04-10
1741-06-30
1742-05-11
1742-06-05
1742-06-29
1742-12-18
1743-01-15
1743-03-18
1743-08-27
1743-10-04
1743-10-25
1743-11-03
1743-11-30
1744-03-08
1744-04-23
1745-01-10
1745-02-26
1745-03-25
1745-04-19
1745-06-01
1745-08-25
1745-12-29
1746-04-03
1747-03-13
1747-03-27
1747-07-24
1747-08-26
1747-09-18
1747-12-09
1748-03-25
1748-05-16
1748-09-04
1748-09-24
1748-11-12
1748-11-22
1749-04-13
1749-05-22
1749-05-23
1749-07-11
1749-08-31
1749-11-11
1749-11-23
1749-12-23
1750-03-28
1750-06-24
1750-06-26
1750-11-25
1750-12-15
1750-12-17
1751-03-31
1751-05-05
1751-05-13
1751-05-29
1751-06-18
1752-02-01
1752-04-21
1752-05-26
1752-05-30
1752-06-07
1752-08-12
1752-08-22
1752-08-25
1752-11-26
1752-12-02
1752-12-09
1753-01-03
1753-02-14
1753-12-30
1754-02-15
1754-06-21
1754-07-18
1754-10-24
1755-02-11
1755-07-03
1755-08-28
1755-10-27
1756-02-04
1756-03-17
1756-07-28
1756-08-18
1756-09-07
1756-12-13
1757-01-18
1757-06-24
1758-03-03
